Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Price
1,0,Counterspell,Strixhaven Mystical Archive,78,Mint,Japanese,,,,,,,,$0.00,$31.46
1,0,Teferi's Protection,Strixhaven Mystical Archive,11,Mint,Japanese,,,,,,,,$0.00,$27.28
1,0,Mizzix's Mastery,Strixhaven Mystical Archive,43,Mint,Japanese,,,,,,,,$0.00,$8.00
1,0,Opt,Strixhaven Mystical Archive,82,Mint,Japanese,,,,,,,,$0.00,$5.00
1,0,Ephemerate,Strixhaven Mystical Archive,5,Mint,Japanese,,,,,,,,$0.00,$3.84
1,0,Electrolyze,Strixhaven Mystical Archive,123,Mint,Japanese,,,,,,,,$0.00,$3.58
1,0,Tanazir Quandrix,Strixhaven: School of Mages,284,Mint,Japanese,,,,,,,,$0.00,$2.88
1,0,Duress,Strixhaven Mystical Archive,92,Mint,Japanese,,,,,,,,$0.00,$2.42
1,0,Approach of the Second Sun,Strixhaven Mystical Archive,1,Mint,Japanese,,,,,,,,$0.00,$2.19
1,0,Negate,Strixhaven Mystical Archive,81,Mint,Japanese,,,,,,,,$0.00,$1.96
1,0,Growth Spiral,Strixhaven Mystical Archive,61,Mint,Japanese,,,,,,,,$0.00,$1.53
1,0,Shock,Strixhaven Mystical Archive,107,Mint,Japanese,,,,,,,,$0.00,$1.29
1,0,Krosan Grip,Strixhaven Mystical Archive,53,Mint,Japanese,,,,,,,,$0.00,$1.09
1,0,Gift of Estates,Strixhaven Mystical Archive,6,Mint,Japanese,,,,,,,,$0.00,$1.03
1,0,Divine Gambit,Strixhaven Mystical Archive,67,Mint,Japanese,,,,,,,,$0.00,$0.85
1,0,Infuriate,Strixhaven Mystical Archive,104,Mint,Japanese,,,,,,,,$0.00,$0.82
1,0,Putrefy,Strixhaven Mystical Archive,63,Mint,Japanese,,,,,,,,$0.00,$0.75
1,0,Strategic Planning,Strixhaven Mystical Archive,83,Mint,Japanese,,,,,,,,$0.00,$0.75
1,0,Agonizing Remorse,Strixhaven Mystical Archive,87,Mint,Japanese,,,,,,,,$0.00,$0.69
1,0,Compulsive Research,Strixhaven Mystical Archive,14,Mint,Japanese,,,,,,,,$0.00,$0.62
2,0,Shock,Strixhaven Mystical Archive,44,Mint,Japanese,,,,,,,,$0.00,$0.62
1,0,Tezzeret's Gambit,Strixhaven Mystical Archive,21,Mint,Japanese,,,,,,,,$0.00,$0.60
1,0,Cultivate,Strixhaven Mystical Archive,51,Mint,Japanese,,,,,,,,$0.00,$0.54
1,0,Duress,Strixhaven Mystical Archive,29,Mint,Japanese,foil,,,,,,,$0.00,$0.50
1,0,Daemogoth Titan,Strixhaven: School of Mages,174,Mint,Japanese,,,,,,,,$0.00,$0.45
1,0,"Codie, Vociferous Codex",Strixhaven: School of Mages,253,Mint,Japanese,,,,,,,,$0.00,$0.40
1,0,Snakeskin Veil,Strixhaven Mystical Archive,57,Mint,Japanese,,,,,,,,$0.00,$0.35
1,0,Village Rites,Strixhaven Mystical Archive,35,Mint,Japanese,,,,,,,,$0.00,$0.33
1,0,Adventurous Impulse,Strixhaven Mystical Archive,49,Mint,Japanese,,,,,,,,$0.00,$0.30
1,0,Eliminate,Strixhaven Mystical Archive,30,Mint,Japanese,,,,,,,,$0.00,$0.26
1,0,Agonizing Remorse,Strixhaven Mystical Archive,24,Mint,Japanese,,,,,,,,$0.00,$0.25
1,0,Infuriate,Strixhaven Mystical Archive,41,Mint,Japanese,,,,,,,,$0.00,$0.25
1,0,Whirlwind Denial,Strixhaven Mystical Archive,23,Mint,Japanese,,,,,,,,$0.00,$0.25
